level,BlockItem,Bomb,Dropline,Empty tray reward,Frozen,Goldlock,GrillBomb,GrillIceMain,GrillIceNeighbor,GrillLock,Hidden,HorizontalConveyer,Ice,LockArea,Lockitem,Mini tray,Octochef,Order,Overcook,SilverLock,SpicyTray,ToggleGrill,Vending3,VendingTray,VerticalConveyer,WoodenTray,Wrapped,time
1,,,,,,,,,,,,,,,,,,,,,,,,,,,,120
10,,,,2,,,,,,,,1,,,,4,,,,,,,,,,,,300
100,,,30,,,,,,,,,,,,,,,,,,,,,,,,,260
1000,,,,,,,,,,3,,3,,,,,,,,,,,,20,,3,,260
1001,,,,1,,,,,,,4,,3,,,,,,,1,,,,,,,,290
1002,,,,,,,,,,1,4,,3,,1,1,,,,,,,,9,2,,,300
1003,,,,,,,,,,,30,,2,,1,,,,,,,,,,,,,250
1004,,,,,,,,,,,39,,1,,1,,,,,,,,,4,,3,,200
1005,,1,,,,,,,,,2,,3,,,,,,,,,,,,,,,260
1006,,1,,,,,,,,,4,,2,,2,,,,,,,,,,2,,,360
1007,,1,,,,1,,,,,,,,,1,,,,,,,,,12,1,2,,360
1008,,,,,,,,,,,60,,,,,,,,,,,,,,,4,,275
1009,,1,,,4,,,,,3,,2,,,,,,,,,,,,,,,,320
101,,,,,,,,,,3,,,,,,5,,,,,,,,5,1,,,355
1010,,,,,,,,,,,,,,,,,,,,,,,,,,,,200
1011,,,,,4,,,,,,,,4,,,,,,,,,,,4,,,,310
1012,,1,,,,,,,,,,,,,1,,,,,1,,,,6,,,,230
1013,,,,,,,,,,,,,4,,,,,,,,,,,,1,,,330
1014,,,,,5,,,,,,,,2,,,,,,,,,,,4,,,,300
1015,,,,1,,,,,,2,,,,,1,,,,,1,2,,,,,2,,250
1016,,,,,6,,,,,,,,4,,,,,,,,,,,,1,,,350
1017,,,,,,,,,,3,,1,,,,,,,,,2,,,,,2,,340
1018,,,,,3,,,,,,,,,,,,,,,,,,,,,,,300
1019,,,,,,,,,,1,,3,,,1,4,,,,1,,,,20,,2,,425
102,,1,,,2,,,,,4,,,,,,,,,,,,,,,,,,320
1020,,1,,,,,,,,3,4,,,,,,,,,,,,,4,,,,300
1021,,1,,,4,,,1,2,,,,1,,,,,,,,,,,,,,,360
1022,,,,1,,,,1,2,,,2,1,,,,,,,1,,,,,,,,440
1023,,,,1,4,,,1,2,,,,,,1,,,,,,,,,,,,,320
1024,,,,1,4,,,1,2,,4,,1,,,,,,,1,,,,,,,,380
1025,,2,,1,6,,,1,2,,,,,,1,,,,,,,,,6,1,,,330
1026,,,,1,3,,,2,4,,14,,,,,,,,,,,,,,,,,370
1027,,,,1,3,1,,1,2,,13,2,,,1,,,,,,,,,,,,,390
1028,,,,,3,,,,,,,,,,,,,,,,,,,,,,,300
1029,,,,,3,,,,,,15,,2,,1,,,,,,,,,,1,,,210
103,,1,,1,,,,,,,,2,3,,,,,,,,,,,,,,,290
1030,,,,,3,,,,,,,,,,,,,,,,,,,,,,,300
1031,,,,,,,,,,,15,,1,,,3,,,,1,,,,,,,,350
1032,,,,,,,,2,4,,9,,,,,3,,,1,,,,,,,,,330
1033,,,,,,,,,,1,9,3,,,1,,,,1,,,,,3,,,,375
1034,,,,,5,1,,1,2,,8,,,,,,,,1,,,,,5,,,,270
1035,,,,1,5,1,,,,,5,,2,,,,,,1,,,,,6,,,,360
1036,,,,,,1,,1,2,1,9,,,,1,,,,,1,,,,,3,,,400
1037,,,,,3,,,1,2,1,5,2,,,,4,,,2,,,,,8,,,,440
1038,,,,,,,,,,,,,2,,,,,,,,,,,5,,,,300
1039,,,,1,,,2,,,1,9,,,,,,,,,,,,,4,,,,300
104,,1,,1,1,,,,,3,,2,,,,,,,,,,,,,,,,340
1040,,,,,,1,2,1,2,,6,,,,,,,,,1,,,,,,,,330
1041,,,,1,,,4,,,,,,,,,,,,2,,,,,,,,,320
1042,,,,1,,,1,1,2,2,6,2,,,,,,,1,,,,,10,,,,475
1043,,,,,3,,,,,,5,1,,,,13,,,,,,,,,,,,390
1044,,,,1,3,1,1,1,2,,5,,,,,,,,1,1,,,,,,,,250
