,1,,,,,,,,,,,,1,1,1,,
,,,,,1,,,,0.25,,,,,,,,
,,,,,,1,,,,1,,,,,,,
,,,,,,,,10,,,,1,,,,,50
,,,,,,,,10,,,,,,,1,,
0.25,,,,,,1,,10,0.5,1,,,,,,,100
,1,,,,,,,,,,,,2,,,,
,,,,1,,,,,,,,,,,2,,
,,,,,,,,100,,,,,,,,,300
,,,,,,1,,,,2,,,,,,,
,,1,,,1,1,,10,,2,,,2,2,2,,50
,1,,,,,,,,,,,,,,2,,
,,,,,,,,10,,,2,,,,,,
,,,,1,,,,,,,,,,,,,100
,,,,,,,,10,,,,,2,,,,
0.25,,,,1,,1,,10,1,2,,,,,2,,100
,,,,1,,,,,,,2,,,,,,
,,,,,,,,10,,,,,2,,,,
,,,,,1,,,,,2,,,,,,,
,,1,,,,,,,,,,,,,2,,
,,1,,1,,1,,10,1.5,,2,,2,2,,,50
0.5,,,,,,,,,,2,,,,,,,
,,,,,,1,,,,,,,2,,,,
,,,,,,,,10,,,,,,,,,200
,,,,1,,,,,,,,,,,3,,
0.5,1,,,,1,,,10,1.5,3,,,2,,2,,100
,,,,,,1,,,,,,,,3,,,
,,,,,,,,20,,,,,,,,,100
,,,,2,,,,,,,3,,,,,,
0.25,2,2,2,2,,,,200,1,3,3,3,3,3,3,3,300
